,Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,EE_COMC_CCS_GAS,EE_COMC_CCS_GAS,4350.792090219083,1.0,EE,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
1,EE_STUR_GAS,EE_STUR_GAS,119.33333333333331,24.0,EE,STUR,GAS,0.368,1,1,0.02,0.02,25.0,2.9,0.25,0.4,0.38,0.166666667,0.531963913,,,,,,,,,,,
2,EE_WTON_WIN,EE_WTON_WIN,8745.0,1.0,EE,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
3,EE_PHOT_SUN,EE_PHOT_SUN,4692.0,1.0,EE,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
4,EE_BATS_OTH,EE_BATS_OTH,956.0,1.0,EE,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,3824.0,0.0,956.0,0.89
5,EE_BEVS_OTH,EE_BEVS_OTH,1090.0,1.0,EE,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,11447.31,0.0,1090.0,0.94
6,EE_P2HT_OTH,EE_P2HT_OTH,1376.0,1.0,EE,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1853893866299103,5.0,0.025375561002518587,0.000867751237363363,6880.0,0.03,,
7,EE_P2GS_HYD,EE_P2GS_HYD,1331.0,1.0,EE,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,4667.0,0.0,7199.0,0.72
8,EE_STUR_BIO_CHP,EE_STUR_BIO_CHP,123.0,1.0,EE,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.238,,,,,3280.0,0.03,,
9,EE_COMC_GAS_CHP,EE_COMC_GAS_CHP,15.0,1.0,EE,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,189.4736842105264,0.03,,
10,EE_ICEN_GAS_CHP,EE_ICEN_GAS_CHP,9.916666666666666,12.0,EE,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,158.66666666666666,0.03,,
