,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
FR_STUR_GEO,FR_STUR_GEO,34.0,2.0,FR,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
FR_STUR_LIG,FR_STUR_LIG,600.0,1.0,FR,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
FR_STUR_NUC,FR_STUR_NUC,991.3061224489796,49.0,FR,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
FR_COMC_GAS,FR_COMC_GAS,418.09822267694,38.0,FR,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
FR_GTUR_GAS,FR_GTUR_GAS,63.93889342852228,192.0,FR,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
FR_STUR_OIL,FR_STUR_OIL,324.1666666666667,6.0,FR,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
FR_HDAM_WAT,FR_HDAM_WAT,12639.0,1,FR,HDAM,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,2845905.0,0.0,0.0,0.89
FR_HPHS_WAT,FR_HPHS_WAT,9704.0,1,FR,HPHS,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,48520.0,0.0,9704.0,0.89
FR_HROR_WAT,FR_HROR_WAT,16603.0,1,FR,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
FR_WTON_WIN,FR_WTON_WIN,440328.0,1,FR,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
FR_PHOT_SUN,FR_PHOT_SUN,262355.0,1,FR,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
FR_SCSP_SUN,FR_SCSP_SUN,149.56179775280899,178.0,FR,SCSP,SUN,1.0,2,2,0.021276596000000002,0.021276596000000002,0,0.0,0.0,0.0,0.395,0.0,0.0,,,,,,,,2243.4269662921347,0.03,0.0,
FR_BATS_OTH,FR_BATS_OTH,33395277.77777778,1,FR,BATS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,133581111.11111112,0.0,33395277.77777778,0.89
FR_BEVS_OTH,FR_BEVS_OTH,196219.5,1,FR,BEVS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,880436.8965,0.0,196219.5,0.89
FR_P2HT_OTH,FR_P2HT_OTH,0.00299999993570648,31107334.0,FR,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.684836762206201,5.0,0.047302000824629875,0.00010988663455578388,0.0149999996785324,0.03,,
FR_P2GS_HYD,FR_P2GS_HYD,20211.0,1,FR,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,30850555.555555556,0.0,467466.0,0.72
FR_STUR_BIO_CHP,FR_STUR_BIO_CHP,175.85714285714286,21.0,FR,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4689.523809523809,0.03,,
FR_COMC_GAS_CHP,FR_COMC_GAS_CHP,254.13376913813863,2.0,FR,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3210.1107680606983,0.03,,
FR_GTUR_GAS_CHP,FR_GTUR_GAS_CHP,56.10463738910324,7.0,FR,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,back-pressure,0.55,0.0,,,,,1224.101179398616,0.03,,
